"","family","location","mean.loc.abund"
"333","f:Nakamurellaceae","Ningaloo",0.000179118089986633
"334","f:Nakamurellaceae","Philippines",4.34403023667308e-05
"335","f:Nakamurellaceae","Tanzania",5.10419209953316e-05
"336","f:Nocardioidaceae","Cancun",0.000252673540475191
"337","f:Nocardioidaceae","Lapaz",0.000333066985612818
"338","f:Nocardioidaceae","Ningaloo",0.000765394159690377
"339","f:Nocardioidaceae","Philippines",0.000302702474133468
"340","f:Nocardioidaceae","Tanzania",0.000292841160617681
"341","f:Propionibacteriaceae","Cancun",0.000151285238081886
"342","f:Propionibacteriaceae","Lapaz",0.000259848124865142
"343","f:Propionibacteriaceae","Ningaloo",0.000564245631465401
"344","f:Propionibacteriaceae","Philippines",0.000119168305926129
"345","f:Propionibacteriaceae","Tanzania",9.47613755353654e-05
"346","f:Pseudonocardiaceae","Cancun",0.000744334892839274
"347","f:Pseudonocardiaceae","Lapaz",0.00100235321952331
"348","f:Pseudonocardiaceae","Ningaloo",0.00171001064321673
"349","f:Pseudonocardiaceae","Philippines",0.000985933683331299
"350","f:Pseudonocardiaceae","Tanzania",0.000873555220023335
"351","f:Sporichthyaceae","Cancun",3.5209117566814e-05
"352","f:Sporichthyaceae","Lapaz",7.06768371363657e-05
"353","f:Sporichthyaceae","Ningaloo",0.000154054758615991
"354","f:Sporichthyaceae","Philippines",7.00691740126571e-05
"355","f:Sporichthyaceae","Tanzania",4.56599605925996e-05
"356","f:Streptomycetaceae","Cancun",0.00146560890525451
"357","f:Streptomycetaceae","Lapaz",0.00183577966737749
"358","f:Streptomycetaceae","Ningaloo",0.00250745372104922
"359","f:Streptomycetaceae","Philippines",0.00164853350638085
"360","f:Streptomycetaceae","Tanzania",0.00150521312435585
"361","f:Nocardiopsaceae","Cancun",0.00022447710764925
"362","f:Nocardiopsaceae","Lapaz",0.000374650096572706
"363","f:Nocardiopsaceae","Ningaloo",0.000738899686124288
"364","f:Nocardiopsaceae","Philippines",0.000326855247396745
"365","f:Nocardiopsaceae","Tanzania",0.00031755020650485
"366","f:Streptosporangiaceae","Cancun",6.82891680656761e-05
"367","f:Streptosporangiaceae","Lapaz",0.000194595797257582
"368","f:Streptosporangiaceae","Ningaloo",0.000355523648917191
"369","f:Streptosporangiaceae","Philippines",0.000140023955299782
"370","f:Streptosporangiaceae","Tanzania",0.000134075959194419
"371","f:Thermomonosporaceae","Cancun",0.000151876664534002
"372","f:Thermomonosporaceae","Lapaz",0.000210183003778629
"373","f:Thermomonosporaceae","Ningaloo",0.000327467478476693
"374","f:Thermomonosporaceae","Philippines",0.000210317804064644
"375","f:Thermomonosporaceae","Tanzania",0.000182130392001982
"376","f:Atopobiaceae","Cancun",1.95555160089011e-05
"377","f:Atopobiaceae","Lapaz",3.85939639224536e-05
"378","f:Atopobiaceae","Ningaloo",0.000105090408104831
"379","f:Atopobiaceae","Philippines",2.38805689907935e-05
"380","f:Atopobiaceae","Tanzania",3.31255890162851e-05
"381","f:Coriobacteriaceae","Cancun",1.24721852627211e-05
"382","f:Coriobacteriaceae","Lapaz",4.37019315987631e-05
"383","f:Coriobacteriaceae","Ningaloo",0.000123951788650511
"384","f:Coriobacteriaceae","Philippines",2.28019426622362e-05
"385","f:Coriobacteriaceae","Tanzania",4.05709947802878e-05
"386","f:Eggerthellaceae","Cancun",2.17449891076742e-05
"387","f:Eggerthellaceae","Lapaz",8.15092495639973e-05
"388","f:Eggerthellaceae","Ningaloo",0.000231896138964184
"389","f:Eggerthellaceae","Philippines",3.59158038070633e-05
"390","f:Eggerthellaceae","Tanzania",5.91082792863986e-05
"391","f:Rubrobacteraceae","Cancun",0.000125269706963976
"392","f:Rubrobacteraceae","Lapaz",0.000156263421534855
